Index,Coments_norm,Estrelas SIA,Estrelas,Polarity Scores
1,perfect restaurant fair price well served wonderful food arrived straight away opened empty able choose table everything left must 30 people waiting enter international shrimp 3 people eat,5,5,"{'neg': 0.049, 'neu': 0.575, 'pos': 0.375, 'compound': 0.8979}"
2,excellent restaurant beautiful environment clean pleasant dishes tasty well served value money excellent first visit ate ceviche fish shrimp delicious lobster black tip perfect second day ate ceviche worth shrimp 294 starter super well served,5,5,"{'neg': 0.0, 'neu': 0.383, 'pos': 0.617, 'compound': 0.9883}"
3,excellent place new experiences shrimp dishes meat fast attentive service come back often,4,5,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5719}"
4,best restaurant ever cost benefit ok surreal food delicious dessert naked nest heart already 4 times would go back thousand,5,5,"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.9201}"
5,busy restaurant lots celebrations delicious delicious dishes good price attentive friendly staff,5,4,"{'neg': 0.0, 'neu': 0.372, 'pos': 0.628, 'compound': 0.926}"
6,eleventh time going christmas probably hundredth time go restaurant still excellence attentive staff extremely tasty food fair price congratulations,5,5,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.8901}"
7,well recommended restaurant delicious food ordered lobster shrimps however tropical caipirinha impossible drink thick complained waiter got knocked continued problem asked cancel charges objections great service,4,4,"{'neg': 0.242, 'neu': 0.459, 'pos': 0.298, 'compound': 0.4939}"
8,delicious food service polite waiters reception cozy atmosphere rating camaroes 10,4,5,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.5719}"
9,food dessert delicious tasted travel christmas favorite dish served come rio janeiro,5,5,"{'neg': 0.0, 'neu': 0.599, 'pos': 0.401, 'compound': 0.7717}"
10,great atmosphere pastel shrimp first category ordered international shrimp dish caja juice drink knee sensational environment beautiful people crowded parking difficult,4,5,"{'neg': 0.088, 'neu': 0.632, 'pos': 0.281, 'compound': 0.7579}"
11,wonderful restaurant celebrated birthday trip even got cake congratulations excellent friendly waiters even offered cover air conditioning wonderful food fresh shrimp excellent value money,5,5,"{'neg': 0.0, 'neu': 0.331, 'pos': 0.669, 'compound': 0.9839}"
12,rating 5 besides great food service error see dish came cheese wife eat time serve sir antonio elias saw wife eat prawns cheese titubear brought portion cheese normal happen thank restaurant attention help situation faithful best restaurant christmas,5,5,"{'neg': 0.054, 'neu': 0.619, 'pos': 0.327, 'compound': 0.9287}"
13,restaurant shrimps precious christmas tourist comes see christmas several times make point says popular last time ordered two types shrimps like last dishes milk cream take little flavor shrimp come south country pleases lot price quantity flavor avoid ordering cream milk dishes,4,4,"{'neg': 0.043, 'neu': 0.727, 'pos': 0.23, 'compound': 0.8591}"
14,excellent restaurant seafood pleasant atmosphere first world service believe heritage city fair prices offers,5,5,"{'neg': 0.0, 'neu': 0.542, 'pos': 0.458, 'compound': 0.8519}"
15,beautiful place tasty food attentive service worth visiting ate tasty mangrove tip dish excellent value money,5,5,"{'neg': 0.0, 'neu': 0.502, 'pos': 0.498, 'compound': 0.8979}"
